"sensorId","obsCount","outlierCount","rate","shape","ppv","sensitivity","f1","AIC","BIC","lglk"
648,422263,209,116.581288006833,12.9553338189132,0.230639730639731,0.655502392344498,0.341220423412204,Inf,Inf,-Inf
649,289376,143,113.919911869209,17.6035858576185,0.211711711711712,0.657342657342657,0.320272572402044,Inf,Inf,-Inf
650,265901,129,111.565300383822,17.9975712377076,0.159212880143113,0.689922480620155,0.258720930232558,Inf,Inf,-Inf
653,278334,139,116.031252105089,17.4303663760406,0.184557438794727,0.705035971223022,0.292537313432836,Inf,Inf,-Inf
655,10158,4,115.654783843564,12.4695730556619,0.15,0.75,0.25,-41847.8577359756,-41833.4057022729,20925.9288679878
661,45009,21,112.401976050143,10.0939133829566,0.170731707317073,1,0.291666666666667,Inf,Inf,-Inf
663,28707,16,114.181327672219,20.0052430922529,0.444444444444444,0.5,0.470588235294118,-104301.876277015,-104285.346484466,52152.9381385075
669,327912,109,113.098090960878,12.5294241523833,0.0915492957746479,0.477064220183486,0.153618906942393,Inf,Inf,-Inf
670,236192,106,112.493550631845,12.7861206797431,0.245791245791246,0.688679245283019,0.362282878411911,Inf,Inf,-Inf
674,45531,24,106.830589655673,9.84554295431342,0.226415094339623,1,0.369230769230769,Inf,Inf,-Inf
675,19560,5,0.479767238044441,1.89352778846112,NA,0,NA,107332.23770463,107348.000188517,-53664.1188523151
676,30191,16,105.232639901208,11.9459592365773,0.158536585365854,0.8125,0.26530612244898,-119751.537718747,-119734.907120456,59877.7688593737
677,611050,279,117.282326074492,16.120032402133,0.176358436606292,0.663082437275986,0.278614457831325,-2382657.44318228,-2382634.79731415,1191330.72159114
680,630567,301,113.584747126795,16.9003454867917,0.127492877492877,0.59468438538206,0.209970674486804,Inf,Inf,-Inf
685,12578,8,102.816704454576,13.3796021161576,0.2,0.5,0.285714285714286,-48126.1888165871,-48111.3094075169,24065.0944082936
688,19844,9,116.037527561841,12.7512573189831,0.208333333333333,0.555555555555556,0.303030303030303,-81698.4557812594,-81682.6644673126,40851.2278906297
694,79208,39,116.883574363891,14.4426407288565,0.233576642335766,0.82051282051282,0.363636363636364,Inf,Inf,-Inf
698,280927,94,120.649919102306,11.1871996158061,0.101580135440181,0.478723404255319,0.167597765363128,Inf,Inf,-Inf
699,38481,20,117.851255542547,17.5474134721846,0.1875,0.6,0.285714285714286,-147226.259003989,-147209.143164206,73615.1295019947
700,363007,80,112.982292620071,9.54037082830361,0.0288646568313021,0.5625,0.0549115314215985,Inf,Inf,-Inf
703,207234,102,116.442305963042,14.6996842596681,0.222222222222222,0.627450980392157,0.328205128205128,Inf,Inf,-Inf
704,674137,311,115.557977894859,12.7040589437501,0.188191881918819,0.655948553054662,0.29247311827957,Inf,Inf,-Inf
707,643974,303,118.016433027465,11.6185508458574,0.0906605922551253,0.656765676567657,0.159327461969576,Inf,Inf,-Inf
711,98855,50,102.9456654059,12.9151735565326,0.130232558139535,0.56,0.211320754716981,-382012.191312512,-381993.188493694,191008.095656256
716,391232,155,88.7633782253889,10.4112091273182,0.2475442043222,0.812903225806452,0.379518072289157,-1495055.92392077,-1495034.16980875,747529.961960387
717,179782,69,114.011959456471,15.3971705786902,0.122549019607843,0.72463768115942,0.209643605870021,Inf,Inf,-Inf
722,13418,6,112.203795674292,9.96488774491955,0.0754716981132075,0.666666666666667,0.135593220338983,Inf,Inf,-Inf
728,89005,32,106.782667755914,12.5500508465631,0.247706422018349,0.84375,0.382978723404255,-353230.893005822,-353212.100110168,176617.446502911
729,199881,99,115.668362033841,11.5303822237955,0.0896159317211949,0.636363636363636,0.157107231920199,Inf,Inf,-Inf
731,494684,248,116.277180561553,13.8203939835341,0.153980752405949,0.709677419354839,0.253055355859094,Inf,Inf,-Inf
733,39574,20,114.526349437976,9.37037609533493,0.0541871921182266,0.55,0.0986547085201794,Inf,Inf,-Inf
734,672808,275,114.065461912425,10.2599880215353,0.0963006459189665,0.596363636363636,0.16582406471183,Inf,Inf,-Inf
738,177419,89,111.933487514263,12.8962464575303,0.138576779026217,0.831460674157303,0.237560192616372,Inf,Inf,-Inf
739,493163,247,117.475838438331,12.4054654935541,0.149950347567031,0.611336032388664,0.240829346092504,Inf,Inf,-Inf
740,24416,8,112.801650845833,10.1539685644625,0.0476190476190476,0.375,0.0845070422535211,-104616.691775125,-104600.485787257,52310.3458875627
742,16539,5,105.069384654956,10.694536708707,0.04,0.2,0.0666666666666667,Inf,Inf,-Inf
743,13339,8,114.668925037138,11.9341688700481,0.15625,0.625,0.25,-55359.4651363717,-55344.4682416634,27681.7325681858
745,193162,54,113.948715096478,9.73095087684847,0.0483425414364641,0.648148148148148,0.089974293059126,Inf,Inf,-Inf
746,57675,18,114.224530161293,10.3306922420389,0.0426829268292683,0.388888888888889,0.0769230769230769,Inf,Inf,-Inf
751,320472,155,109.912777745179,11.6338009879861,0.105953582240161,0.67741935483871,0.183246073298429,Inf,Inf,-Inf
753,15966,7,112.40869470292,20.2107651818728,0.142857142857143,0.714285714285714,0.238095238095238,-57288.7589907799,-57273.4025572995,28646.37949539
754,362454,179,112.685723522602,10.293381127395,0.170575692963753,0.893854748603352,0.286481647269472,Inf,Inf,-Inf
755,551240,230,115.541498507229,17.0923161398346,0.145348837209302,0.760869565217391,0.244072524407252,Inf,Inf,-Inf
756,379196,190,6.78984426001928,0.947574471122497,0.0222469410456062,0.526315789473684,0.0426894343649947,-Inf,-Inf,Inf
758,555359,171,74.8332322228165,7.76064880975327,0.0795568982880161,0.461988304093567,0.13573883161512,Inf,Inf,-Inf
762,483381,239,116.878331456456,14.1183908885476,0.159420289855072,0.644351464435146,0.255601659751037,Inf,Inf,-Inf
763,39927,18,115.987260667595,14.2399613733408,0.176470588235294,0.666666666666667,0.27906976744186,-159835.331268499,-159818.141652368,79919.6656342495
764,150288,69,115.935726018464,13.4179447990137,0.0747863247863248,0.507246376811594,0.130353817504655,Inf,Inf,-Inf
767,231207,114,118.218289254998,16.0184404858628,0.230582524271845,0.833333333333333,0.361216730038023,-910109.270379843,-910088.568242459,455056.635189922
768,31558,7,144.416029872269,17.641565018239,0.0086848635235732,1,0.017220172201722,Inf,Inf,-Inf
771,14102,3,108.879309053084,9.28519923290471,0.0238095238095238,0.666666666666667,0.0459770114942529,Inf,Inf,-Inf
